category_name,category_id,product_name,brand,serving_size,total_weight,kcal,carbohydrate_g,sugar_g,fat_g,saturated_fat_g,trans_fat_g,protein_g,sodium_mg,sugar_alcohol_g,allulose_g,erythritol_g
과자 및 스낵,1,롯데시네마 제로팝콘,㈜제이앤이 아산공장,20g,70.00g,456,80.03,0,13.08,5.09,0.2,4.45,312,,,
과자 및 스낵,1,무설탕팥앙금그때그단팥빵,주식회사 더베이스코리아,70g,253.860g,254,50.09,3.31,3.18,0,1.86,6.22,195,,,
과자 및 스낵,1,이디야 제로슈가쿠키 더블초코,(주)더플랜잇,30g,40.00g,438,62.5,0,20,11.25,0,15,600,21.75,,
과자 및 스낵,1,이디야 제로슈가쿠키 스윗오트,(주)더플랜잇,30g,40.00g,433,62.5,0,17.5,10,0,15,625,17,,
과자 및 스낵,1,잇츠베러 제로슈가쿠키 더블초코,(주)더플랜잇,30g,40.00g,433,62.5,7.5,20,11.25,0,15,600,,,
과자 및 스낵,1,잇츠베러 제로슈가쿠키 스윗오트,(주)더플랜잇,30g,40.00g,433,62.5,0,17.5,10,0,15,625,,,
과자 및 스낵,1,잇츠베러 제로슈가쿠키 토피넛,(주)더플랜잇,30g,40.00g,425,65,0,15,8.75,0,15,425,7.3,,
과자 및 스낵,1,잇츠베러 제로슈가쿠키 황치즈향,(주)더플랜잇,30g,40.00g,433,62.5,0,17.5,10.5,0,15,800,,,
과자 및 스낵,1,제로 브라우니,제로베이커리,70g,55.00g,365,34.55,1.82,30.91,14.55,0.91,9.09,451,10,,
과자 및 스낵,1,제로 브라우니샌드,제로베이커리,30g,40.00g,395,30,2.5,36,19.25,1,7.75,370,7,,
과자 및 스낵,1,제로 수플레 치즈케이크,주식회사 케익모아,70g,290.000g,292,35.63,0,17.18,8.69,0.29,6.74,160,,,
과자 및 스낵,1,제로 스콘,제로베이커리,70g,55.00g,400,23.64,1.82,32.73,7.27,0,12.73,342,4,,
과자 및 스낵,1,제로 연양갱,삼성식품,50g,50.00g,190,66,0,0,0,0,2,10,40,,
과자 및 스낵,1,제로 초코 롤케이크,주식회사 케익모아,70g,300.000g,219,16.1,0.9,13,11,0,9.4,105,,,
과자 및 스낵,1,제로 초코타르트,제로베이커리,70g,600.000g,469,32,3,43,20,0.5,12,440,21,,
과자 및 스낵,1,제로 초콜릿칩 쿠키,롯데제과㈜,30g,168.000g,470,60,0,26,14,0.35,9,440,,,
과자 및 스낵,1,제로 카카오 케이크,롯데제과㈜,30g,171.000g,455,48,0,29,13,0,9,350,,,
과자 및 스낵,1,제로 카카오파운드,제로베이커리,70g,60.00g,297,23.33,8.33,22.67,12.5,0.5,6.67,333,,,
과자 및 스낵,1,제로 쿠앤크 샌드,롯데웰푸드㈜,30g,96.00g,464,67.71,0,25,12.5,0.09,4.17,406,,,
과자 및 스낵,1,제로 크림치즈타르트,제로베이커리,70g,550.000g,421,20,3,39,16,0.5,12,436,13,,
과자 및 스낵,1,제로 티라미슈,주식회사 케익모아,70g,155.000g,235,34.84,0,14.19,6.45,0.15,5.16,97,,,
과자 및 스낵,1,제로 플레인 롤케이크,주식회사 케익모아,70g,300.000g,322,42.61,0.05,19.65,7.22,0.06,6.56,159,,,
과자 및 스낵,1,제로마들렌 말차,주식회사 케익모아,70g,29.00g,362,24.14,0,27.59,13.79,0,6.9,328,,,
과자 및 스낵,1,제로마들렌 얼그레이,주식회사 케익모아,70g,29.00g,310,24.14,0,20.69,11.38,0,6.9,310,,,
과자 및 스낵,1,제로마들렌 오렌지&코코넛,주식회사 케익모아,70g,29.00g,368,24.14,0.28,27.72,16.21,0.48,6.21,298,,,
과자 및 스낵,1,제로마들렌 초코,주식회사 케익모아,70g,29.00g,379,24.14,0,27.59,15.17,0,6.9,276,,,
과자 및 스낵,1,제로슈가 티라미수,주식회사 디스다임,70g,180.000g,291,25.87,1.36,22.46,11.03,0.37,5.87,78,,,
과자 및 스낵,1,제로슈가 프로틴 도넛 더블초코,주식회사 케익모아,70g,135.000g,411,35.56,0.31,26.67,8.67,0,15.56,511,,,
과자 및 스낵,1,제로스콘 단호박,제로베이커리,70g,60.00g,393,21.67,1.67,30,6.67,0,11.67,383,,0.82,2.84
과자 및 스낵,1,제로스콘 크럼블,제로베이커리,70g,65.00g,429,36.92,3.08,32.31,9.23,0.15,12.31,462,8,,
과자 및 스낵,1,제로스콘 흑임자,제로베이커리,70g,60.00g,390,21.67,1.67,30,6.67,0,10,433,,4,
과자 및 스낵,1,제로쌀스콘 카카오,제로베이커리,70g,60.00g,433,56.67,1.67,26.67,15,0.5,6.67,350,11.67,3.33,
과자 및 스낵,1,제로앙버터스콘,제로베이커리,70g,85.00g,461,29.41,2.35,40,16.47,0.94,10.59,222,,,
과자 및 스낵,1,제로와플(코코넛),제로베이커리,70g,48.00g,252,31.25,2.08,18.75,14.58,0,4.17,750,6,,
시럽 및 티베이스,2,Homeplus Signature 자몽허니블랙티 제로,㈜쟈뎅,200ml,"2,100.000mL",2,1.1,0,0,0,0,0,8,,0.5,
시럽 및 티베이스,2,zero 그린애플시럽,(주)태향,150ml,"1,000.000mL",8,27.25,0,0,0,0,0,108,,3.58,21.72
시럽 및 티베이스,2,zero 딸기시럽,(주)태향,150ml,"1,000.000mL",7,32.3,0,0.07,0,0,0.02,176,,8.75,22.08
시럽 및 티베이스,2,zero 라임시럽,(주)태향,150ml,"1,000.000mL",17,29.74,0,0,0,0,0,170,,3.62,21.92
시럽 및 티베이스,2,zero 레몬시럽,(주)태향,150ml,"1,000.000mL",18,30.05,0,0,0,0,0,204,,3.3,22
시럽 및 티베이스,2,zero 리치캐모마일티시럽,(주)태향,150ml,"1,000.000mL",13,44.96,0.16,0.12,0,0,0.04,208,,18.98,23
시럽 및 티베이스,2,zero 망고시럽,(주)태향,150ml,"1,000.000mL",7,32.5,0,0.07,0,0,0.04,174,,8.76,22.12
시럽 및 티베이스,2,zero 복숭아시럽,(주)태향,150ml,"1,000.000mL",5,26.5,0,0.02,0,0,0.02,153,,3.57,21.64
시럽 및 티베이스,2,zero 블루베리시럽,(주)태향,150ml,"1,000.000mL",5,26.55,0,0,0,0,0.01,180,,3.57,21.64
시럽 및 티베이스,2,zero 블루큐라소시럽,(주)태향,150ml,"1,000.000mL",2,25.57,0,0.01,0,0,0,6,,3.65,21.56
시럽 및 티베이스,2,zero 청포도시럽,(주)태향,150ml,"1,000.000mL",7,26.88,0,0.09,0,0,0.01,136,,3.59,21.72
시럽 및 티베이스,2,zero 카페시럽,(주)태향,150ml,"1,000.000mL",2,25.42,0,0,0,0,0.03,14,,3.54,21.46
시럽 및 티베이스,2,zero 피치우롱티시럽,(주)태향,150ml,"1,000.000mL",10,35.94,0,0,0,0,0.08,157,,11.07,22.36
시럽 및 티베이스,2,zero 핑크자몽시럽,(주)태향,150ml,"1,000.000mL",17,29.83,0,0,0,0,0.01,173,,3.63,21.96
시럽 및 티베이스,2,zero 허니자몽블랙티시럽,(주)태향,150ml,"1,000.000mL",15,41.13,0,0.14,0,0,0.07,184,,14.98,22.68
시럽 및 티베이스,2,델몬트퍼플레몬에이드제로,(유)삼각에프엠씨 웰빙랜드,200ml,230.000mL,3,2.02,0.08,0,0,0,0.01,26,,,1.42
시럽 및 티베이스,2,릴리벳 제로슈가 복숭아 아이스티 베이스,코비스,200ml,600.000g,20,23.33,0,1,0,0,0,0,,20,
시럽 및 티베이스,2,복음자리 제로 레몬라임 아이스티,,,,,,,,,,,,,,
시럽 및 티베이스,2,복음자리 제로 복숭아 아이스티,,,,,,,,,,,,,,
시럽 및 티베이스,2,애플 히비스커스티 제로,㈜꽃샘식품,200ml,400.000g,14,30,0,0,0,0,0,100,,26.5,
시럽 및 티베이스,2,오늘의일상 하이볼향시럽제로 핑크자몽,㈜흥국에프앤비,-,30.00g,10,2.33,0,0,0,0,0,0,,,
시럽 및 티베이스,2,왓더파머스 제로 알룰로스 액상,(주)자연농장,,100.000g,4,1,0,0,0,0,0,0,,,
시럽 및 티베이스,2,제로 슈크레 얼그레이  밀크티베이스,주식회사 푸른나무,-,500.000g,9,46.2,0,0.1,0,0,0.5,93,,44.8,
시럽 및 티베이스,2,제로 아쌈블렌드 밀크티베이스,주식회사 푸른나무,-,500.000g,21,49.4,0,0.1,0,0,0.5,117,,44.8,
시럽 및 티베이스,2,제로 티베이스 납작복숭아,드림바이오 주식회사,150ml,"1,200.000g",7,36.98,0.49,0.01,0,0,0.16,112,,35.5,
시럽 및 티베이스,2,제로 티베이스 납작복숭아 망고향,주식회사서울팩토리,150ml,"1,200.000g",9,38,0.46,0.01,0,0,0.13,84,,35.5,
시럽 및 티베이스,2,제로 티베이스 캐모마일 사과향,주식회사서울팩토리,150ml,"1,800.000g",5,40.01,0.24,0.01,0,0,0.09,64,,39,
시럽 및 티베이스,2,제로베이스 레몬,주식회사새롬웰푸드,150ml,"1,000.000g",7,55,0,0,0,0,0,20,,53,
시럽 및 티베이스,2,제로베이스 자몽,주식회사새롬웰푸드,150ml,"1,000.000g",5,55,1,0,0,0,0,20,,53.5,
시럽 및 티베이스,2,제로베이스 청포도,주식회사새롬웰푸드,150ml,"1,000.000g",9,55,2,0,0,0,0,20,,53,
시럽 및 티베이스,2,제로설탕 카페시럽,(주)희창유업 제2공장,150ml,"1,500.000mL",0,21,0,0,0,0,0,5,,0,21
시럽 및 티베이스,2,제로슈가 알룰로스,주식회사 비에스바이오,-,100.000g,2,0.5,0.2,0,0,0,0,10,,,
시럽 및 티베이스,2,제로슈가 카페시럽,(주)그린에프엠,10g,"1,910.000g",150,61,0,0,0,0,0,0,58,,
시럽 및 티베이스,2,티아름 제로슈가  밀크티 베이스,주식회사 푸른나무,,"1,000.000g",5,26.4,0,0.2,0.1,0,0.3,24,,26,
아이스크림,3,강릉초당순두부 제로바,(주)삼우냉동,100ml,80.00mL,129,21.25,0,10,7.5,0.31,3.75,84,,3,5
아이스크림,3,더위사냥 제로 디카페인커피,㈜빙그레,100g(ml),140.000mL,54,18.57,0,1.64,1.5,0,0.36,39,,,0.44
아이스크림,3,라라스윗 오렌지 제로바,훼미리식품(주)부산공장,100g(ml),70.00mL,0,12.29,0,0,0,0,0,29,,10.86,1.43
아이스크림,3,라라스윗 포도 제로바,훼미리식품(주)부산공장,100g(ml),70.00mL,0,12.29,0,0,0,0,0,29,,10.86,1.43
아이스크림,3,생귤탱귤 제로 감귤,㈜빙그레,100g(ml),70.00mL,0,15.72,0,0,0,0,0,14,,9,2
아이스크림,3,아이스가이 제로제로 스포츠,㈜청아냉동식품,100g(ml),200.000mL,0,1,0,0,0,0,0,55,,2,
아이스크림,3,제로 말차 크림 모나카,롯데웰푸드 주식회사 천안공장,100ml,140.000mL,130,29,0,4.7,3.1,0.49,1,65,11,3.7,
아이스크림,3,제로 밀크 모나카,롯데웰푸드 주식회사 천안공장,100ml,140.000mL,116,22.14,0,4.29,2.79,0.36,1.43,57,10.71,,
아이스크림,3,제로 아이스 딥초콜릿,롯데웰푸드㈜,100g(ml),474.000mL,130,20,0,7,4.8,0.5,2,70,,,
아이스크림,3,제로 아이스 쿠키&크림,롯데웰푸드㈜,100g(ml),474.000mL,117,21,0,6,3.5,0.5,1,85,,,
아이스크림,3,제로 아이스 트리플 초콜릿바,동그린주식회사,100g(ml),80.00mL,188,20,0,13.75,7.5,0.63,2.5,56,16.25,,
아이스크림,3,제로윗 당제로 밀크바닐라 모나카,(주)삼우냉동,100ml,140.000mL,106,20.72,0,6.43,4.29,0,1.43,26,,3.57,3.57
아이스크림,3,제로윗 당제로 바닐라,동그린(주),100g(ml),100.000mL,100,18,0,6,5,0,1,10,10,1,2
아이스크림,3,제로윗 당제로 바닐라 바,동그린(주),100g(ml),85.00mL,194,30.59,0,12.94,10.59,0,1.18,12,15,1,2
아이스크림,3,제로윗 당제로 초코 모나카,(주)삼우냉동,100ml,140.000mL,102,21.43,0,5.71,3.57,0,1.43,35,,3.57,3.57
아이스크림,3,제로윗 당제로 초콜릿,동그린(주),100g(ml),100.000mL,80,17,0,4,3.9,0,2,25,10,1,2
아이스크림,3,제로윗 당제로 초콜릿바,동그린(주),100g(ml),85.00mL,182,28.24,0,11.77,9.41,0,2.35,29,15,1,2
아이스크림,3,쿠로미 스틱바 블랙소르베 제로,대보푸드 주식회사,100g(ml),60.00mL,0,21.67,0,0,0,0,0,8,,21.67,
아이스크림,3,파워캡 블루아이스 제로,(주)에스아이지,100g(ml),120.000mL,83,16.67,0,1.67,1.42,0,0,25,,,
아이스크림,3,폴라포 커피 제로슈거,해태아이스크림㈜,100g(ml),120.000mL,58,10.83,0,1.58,1.25,0,0,13,,,
아이스크림,3,픽스타치오 제로바,(주)삼우냉동,100ml,80.00mL,119,21.25,0,10,6,0.25,2.5,15,,5,7.5
유제품,4,당이 제로당 유산균음료,매일유업㈜ 광주공장,100ml,125.000mL,3,5.6,0,0,0,0,0,44,,,4.8
유제품,4,요플레 제로 드링크 무당 플레인,주식회사 우리에프엔비,80ml(g),700.000mL,60,5,0,2.8,2,0,4,30,,,
유제품,4,요플레 제로 무당 플레인,㈜빙그레,80ml(g),400.000g,65,6,0,2.1,1.3,0,5.5,40,,,
유제품,4,요플레 제로 초코링,(주)빙그레 광주공장,80ml(g),120.000g,87,9.17,0,3.42,2.75,0,5.42,58,,,
유제품,4,제로 플레인 요거트,롯데웰푸드(주)파스퇴르공장,80ml(g),400.000g,60,5,0,3.1,2.2,0,4.6,20,,,
유제품,4,후디스그릭요거트무설탕저지방,일동후디스㈜,"액상 150ml, 호상 100ml(g)",80.00g,81,9.5,9.5,2,1.25,0,6,110,,,
유제품,4,후디스유기농그릭요거트무설탕,일동후디스㈜,"액상 150ml, 호상 100ml(g)",80.00g,131,9,9,7.75,4.88,0,6,113,,,
음료,5,815콜라제로,(주)일화,200ml,250.000mL,0,0,0,0,0,0,0,2,,,
음료,5,delaffe 제로스위트,(유)삼각에프엠씨 웰빙랜드,240ml,500.000mL,4,0.8,0,0,0,0,0.2,12,,,
음료,5,HITE ZERO 0.00 POMELO FLAVOR 하이트제로 0.00 포멜로향,대구경북능금농협음료가공공장,200ml,350.000mL,4,1.66,0,0,0,0,0,20,,,
음료,5,Homeplus Signature 자몽허니블랙티 제로,㈜쟈뎅,200ml,"2,100.000mL",2,1.1,0,0,0,0,0,8,,0.5,
음료,5,HOT6 THE KING 제로,롯데칠성음료㈜,200ml,500.000mL,3,2.52,0,0,0,0,0.1,37,,,1.88
음료,5,가스파드와 리사 블루레몬 제로 에이드,퓨어플러스(주),200ml,350.000mL,1,0.29,0,0,0,0,0,30,,,
음료,5,가스파드와 리사 핑크피치 제로 에이드,퓨어플러스(주),200ml,350.000mL,1,0.31,0,0,0,0,0,31,,,
음료,5,갈배사이다 제로,오케이에프음료㈜,200ml,185.000mL,0,0,0,0,0,0,0,16,,,
음료,5,게토레이제로,롯데칠성음료㈜,200ml,"1,500.000mL",0,0,0,0,0,0,0,49,,,
음료,5,과수원 오렌지 제로슈가,㈜상일,200ml,175.000mL,2,3,0,0,0,0,0,30,,,2.6
음료,5,과수원 청포도 제로슈가,㈜상일,200ml,175.000mL,12,6.2,0.7,0,0,0,0,50,,,3.2
음료,5,곽철이 사과,,,,,,,,,,,,,,
음료,5,곽철이 청포도,,,,,,,,,,,,,,
음료,5,귀여운 내친구 뽀로로 제로 딸기맛,㈜푸드웰,200ml,235.000mL,3,4.26,0,0,0,0,0,15,,,2.98
음료,5,귀여운 내친구 뽀로로 제로 밀크맛,㈜푸드웰,200ml,235.000mL,3,4.26,0,0,0,0,0,15,,,2.98
음료,5,납작복숭아블랙티제로,퓨어플러스(주),200ml,280.000mL,1,0.21,0,0,0,0,0,6,,,
음료,5,덴마크 드링킹 포스트바이오틱스 제로 파인애플,오케이에프음료 주식회사,200ml,500.000mL,2,0.4,0,0,0,0,0,16,,,
음료,5,레몬녹차 제로,(주)엠에스씨(MSC),200ml,340.000mL,1,3.24,0,0,0,0,0,12,,,3
음료,5,레인보우 샤베트 스파클링 제로,오케이에프음료 주식회사,200ml,350.000mL,1,0.29,0,0,0,0,0,2,,,
음료,5,립톤제로복숭아 아이스티,롯데칠성음료㈜,200ml,500.000mL,2,0.51,0,0.02,0,0,0.04,13,,,
음료,5,링티제로 복숭아맛(글로벌),㈜삼양패키징 광혜원 공장,200ml,500.000mL,0,2.6,0,0,0,0,0,32,,,2.6
음료,5,마운틴듀제로슈거블루,롯데칠성음료㈜,200ml,355.000mL,0,0,0,0,0,0,0,5,,,
음료,5,미닛메이드 레몬에이드 제로,해태에이치티비주식회사,200ml,350.000mL,1,0.34,0,0,0,0,0,40,,,
음료,5,미에로화이바 제로슈가,오케이에프음료 주식회사,200ml,180.000mL,11,3.89,0,0,0,0,0,11,,,
음료,5,밀키스제로딸기&바나나,롯데칠성음료㈜,200ml,500.000mL,4,2.82,0.43,0.02,0,0,0.21,7,,2.16,
음료,5,보성홍차 아이스티 제로 샤인머스캣,동원시스템즈㈜ 횡성공장,200ml,500.000mL,1,0.2,0,0.02,0.01,0,0.02,10,,,
음료,5,보성홍차 아이스티 제로 애플,동원시스템즈㈜ 횡성공장,200ml,500.000mL,1,0.21,0.11,0.03,0.01,0,0.03,4,,,
음료,5,복베리 에너지드링크 제로,세븐브로이이즈 주식회사,200ml,355.000g,3,4.58,0.13,0.11,0,0,0.29,2,,3.45,1
음료,5,복숭아 아이스티 제로,동원시스템즈㈜ 횡성공장,200ml,500.000mL,1,0.28,0,0,0,0,0.04,11,,,
음료,5,복숭아녹차 제로,(주)엠에스씨(MSC),200ml,340.000mL,1,2.65,0,0,0,0,0,12,,,2.5
음료,5,봉봉 아이스티 제로 복숭아,동원시스템즈㈜ 횡성공장,200ml,500.000mL,1,0.21,0,0.05,0,0,0.05,11,,,
음료,5,봉봉 아이스티 제로 자몽,동원시스템즈㈜ 횡성공장,200ml,500.000mL,1,0.1,0,0.07,0,0,0.06,7,,,
음료,5,브이톡 제로 레몬에이드,오케이에프음료㈜,200ml,350.000mL,0,1.4,0,0,0,0,0,9,,,
음료,5,비락식혜 제로,㈜팔도,100ml,238.000mL,2,4.2,0,0,0,0,0,2,,,3.78
음료,5,비타글루 제로 에이드,주식회사 코스팜,200ml,75.00g,197,95.1,0.6,0.4,0,0,0.5,11,,,47.34
음료,5,빅 뽀로로 제로 딸기맛,㈜푸드웰,200ml,360.000mL,3,4.17,0,0,0,0,0.14,15,,,11
음료,5,빅 뽀로로 제로 밀크맛,㈜푸드웰,200ml,360.000mL,3,4.17,0,0,0,0,0.14,15,,,11
음료,5,슈가로로 구름소다 제로,오케이에프음료㈜,200ml,250.000mL,0,0.4,0,0,0,0,0,12,,,1
음료,5,슈가로로 메론소다 제로,오케이에프음료㈜,200ml,250.000mL,2,2.8,0,0,0,0,0,1,,,6
음료,5,슈가로로 코코제로 감귤,주식회사 퓨럽2공장,200ml,340.000mL,2,4.12,0.59,0,0,0,0,12,,,3.53
음료,5,슈가로로 코코제로 복숭아,주식회사와우에프앤비,200ml,340.000mL,1,3.82,0,0,0,0,0,12,,,3.53
음료,5,슈가로로 코코제로 요구르트,주식회사와우에프앤비,200ml,340.000mL,0,3.53,0,0,0,0,0,12,,,3.53
음료,5,슈가로로 코코제로 파인애플,주식회사 퓨럽2공장,200ml,340.000mL,2,4.12,0.59,0,0,0,0,12,,,3.53
음료,5,슈가로로 코코제로리치,주식회사와우에프앤비,200ml,340.000mL,2,4.12,0.29,0,0,0,0,10,,,3.53
음료,5,슈가로로 코코제로포도,주식회사와우에프앤비,200ml,340.000mL,4,4.41,0.29,0,0,0,0,12,,,3.53
음료,5,실론티레몬제로,롯데칠성음료㈜,200ml,500.000mL,2,1.67,0.02,0.03,0,0,0.05,2,,1.44,
음료,5,아이스티제로 복숭아,오케이에프음료 주식회사,200ml,500.000mL,7,2.2,0,0,0,0,0,7,,,
음료,5,아이스티제로 자몽,오케이에프음료 주식회사,200ml,500.000mL,7,2.2,0,0,0,0,0,7,,,
음료,5,아침햇살 제로슈가,동원시스템즈㈜,200ml,500.000mL,27,6.12,0.36,1.18,1.18,0,0.14,12,,,10
음료,5,알로에베라킹 제로,오케이에프음료 주식회사,200ml,500.000mL,1,1.8,0,0,0,0,0,6,,,1.58
음료,5,야쿠르트 1971 제로,연세대학교 연세유업,100ml,190.000mL,1,5.26,0,0,0,0,0,24,,,5.11
음료,5,야쿠르트 콤부차 제로,㈜삼양패키징,200ml,335.000mL,2,0.81,0,0.04,0.02,0,0.03,4,,0.55,
음료,5,야쿠르트 콤부차 제로 라임맛,㈜삼양패키징,200ml,335.000mL,1,0.68,0,0.02,0,0,0.04,1,,0.55,
음료,5,양반 매실 제로,주식회사 동천수 상주공장,200ml,340.000mL,3,1.18,0.59,0,0,0,0,12,,0.35,
음료,5,양반 오미자 제로,주식회사 동천수 상주공장,200ml,340.000mL,3,0.88,0.77,0,0,0,0,7,,0.12,
음료,5,양반 유자 제로,주식회사 동천수 상주공장,200ml,340.000mL,3,1.18,0.59,0,0,0,0,15,,0.47,
